ClassName,TotalConditions,CoveredConditions,ConditionCoverage
com.google.javascript.jscomp.AbstractCommandLineRunner,386,201,52.07
com.google.javascript.jscomp.AbstractCompiler,8,7,87.5
com.google.javascript.jscomp.AbstractMessageFormatter,5,3,60.0
com.google.javascript.jscomp.AbstractPeepholeOptimization,16,3,18.75
com.google.javascript.jscomp.AstValidator,151,130,86.09
com.google.javascript.jscomp.BasicErrorManager,52,45,86.54
com.google.javascript.jscomp.CheckAccessControls,253,224,88.54
com.google.javascript.jscomp.CheckDebuggerStatement,2,2,100.0
com.google.javascript.jscomp.CheckGlobalNames,96,88,91.67
com.google.javascript.jscomp.CheckGlobalThis,72,69,95.83
com.google.javascript.jscomp.CheckLevel,2,2,100.0
com.google.javascript.jscomp.CheckMissingReturn,38,36,94.74
com.google.javascript.jscomp.CheckProvides,32,28,87.5
com.google.javascript.jscomp.CheckRegExp,24,23,95.83
com.google.javascript.jscomp.CheckSideEffects,38,38,100.0
com.google.javascript.jscomp.CheckSuspiciousCode,13,13,100.0
com.google.javascript.jscomp.CheckUnreachableCode,20,19,95.0
com.google.javascript.jscomp.CleanupPasses,10,0,0.0
com.google.javascript.jscomp.ClosureCodeRemoval,34,33,97.06
com.google.javascript.jscomp.ClosureCodingConvention,120,103,85.83
com.google.javascript.jscomp.ClosureOptimizePrimitives,22,22,100.0
com.google.javascript.jscomp.ClosureRewriteClass,100,92,92.0
com.google.javascript.jscomp.CoalesceVariableNames,140,120,85.71
com.google.javascript.jscomp.CodeConsumer,70,68,97.14
com.google.javascript.jscomp.CodeGenerator,477,403,84.49
com.google.javascript.jscomp.CodePrinter,122,91,74.59
com.google.javascript.jscomp.CodingConvention,4,4,100.0
com.google.javascript.jscomp.CodingConventions,42,38,90.48
com.google.javascript.jscomp.CollapseVariableDeclarations,54,49,90.74
com.google.javascript.jscomp.CombinedCompilerPass,32,32,100.0
com.google.javascript.jscomp.CommandLineRunner,67,40,59.7
com.google.javascript.jscomp.CompilationLevel,6,4,66.67
com.google.javascript.jscomp.Compiler,421,294,69.83
com.google.javascript.jscomp.CompilerInput,40,17,42.5
com.google.javascript.jscomp.CompilerOptions,51,28,54.9
com.google.javascript.jscomp.ComposeWarningsGuard,32,31,96.88
com.google.javascript.jscomp.ConstCheck,28,27,96.43
com.google.javascript.jscomp.ControlFlowAnalysis,276,259,93.84
com.google.javascript.jscomp.ControlFlowGraph,28,28,100.0
com.google.javascript.jscomp.ControlStructureCheck,10,9,90.0
com.google.javascript.jscomp.ConvertToDottedProperties,9,9,100.0
com.google.javascript.jscomp.CreateSyntheticBlocks,26,24,92.31
com.google.javascript.jscomp.CrossModuleMethodMotion,34,30,88.24
com.google.javascript.jscomp.DataFlowAnalysis,80,77,96.25
com.google.javascript.jscomp.DeadAssignmentsElimination,132,108,81.82
com.google.javascript.jscomp.DefaultPassConfig,386,313,81.09
com.google.javascript.jscomp.Denormalize,36,27,75.0
com.google.javascript.jscomp.DependencyOptions,8,6,75.0
com.google.javascript.jscomp.deps.JsFileLineParser,50,41,82.0
com.google.javascript.jscomp.deps.JsFileParser,38,37,97.37
com.google.javascript.jscomp.deps.SimpleDependencyInfo,10,6,60.0
com.google.javascript.jscomp.deps.SortedDependencies,56,54,96.43
com.google.javascript.jscomp.DiagnosticGroup,10,8,80.0
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard,12,12,100.0
com.google.javascript.jscomp.DiagnosticType,4,3,75.0
com.google.javascript.jscomp.DisambiguateProperties,320,255,79.69
com.google.javascript.jscomp.ExploitAssigns,66,63,95.45
com.google.javascript.jscomp.FlowSensitiveInlineVariables,132,116,87.88
com.google.javascript.jscomp.FunctionInjector,218,188,86.24
com.google.javascript.jscomp.FunctionTypeBuilder,252,225,89.29
com.google.javascript.jscomp.GlobalNamespace,348,279,80.17
com.google.javascript.jscomp.GlobalVarReferenceMap,40,33,82.5
com.google.javascript.jscomp.GoogleCodingConvention,20,19,95.0
com.google.javascript.jscomp.graph.DiGraph,8,7,87.5
com.google.javascript.jscomp.graph.FixedPointGraphTraversal,14,14,100.0
com.google.javascript.jscomp.graph.Graph,22,22,100.0
com.google.javascript.jscomp.graph.GraphColoring,16,14,87.5
com.google.javascript.jscomp.graph.GraphReachability,10,8,80.0
com.google.javascript.jscomp.graph.LinkedDirectedGraph,60,35,58.33
com.google.javascript.jscomp.graph.LinkedUndirectedGraph,64,47,73.44
com.google.javascript.jscomp.InferJSDocInfo,73,67,91.78
com.google.javascript.jscomp.InlineCostEstimator,2,2,100.0
com.google.javascript.jscomp.InlineFunctions,265,243,91.7
com.google.javascript.jscomp.InlineObjectLiterals,110,102,92.73
com.google.javascript.jscomp.InlineVariables,236,217,91.95
com.google.javascript.jscomp.JoinOp,8,7,87.5
com.google.javascript.jscomp.JsAst,6,6,100.0
com.google.javascript.jscomp.JSError,47,18,38.3
com.google.javascript.jscomp.JsMessage,112,43,38.39
com.google.javascript.jscomp.JsMessageVisitor,191,163,85.34
com.google.javascript.jscomp.JSModule,26,21,80.77
com.google.javascript.jscomp.JSModuleGraph,88,81,92.05
com.google.javascript.jscomp.LightweightMessageFormatter,32,27,84.38
