ClassName,TotalMutants,KilledMutants,MutationScore
com.google.javascript.jscomp.AbstractCompiler,9,7,77.8
com.google.javascript.jscomp.AbstractMessageFormatter,3,1,33.3
com.google.javascript.jscomp.AbstractPeepholeOptimization,29,5,41.7
com.google.javascript.jscomp.CheckDebuggerStatement,4,4,100.0
com.google.javascript.jscomp.CheckGlobalNames,161,119,74.4
com.google.javascript.jscomp.CheckGlobalThis,118,89,75.4
com.google.javascript.jscomp.CheckLevel,1,1,100.0
com.google.javascript.jscomp.CheckMissingReturn,43,34,79.1
com.google.javascript.jscomp.CheckProvides,60,52,86.7
com.google.javascript.jscomp.CheckRegExp,51,41,80.4
com.google.javascript.jscomp.CheckSideEffects,63,46,74.2
com.google.javascript.jscomp.CheckSuspiciousCode,17,15,88.2
com.google.javascript.jscomp.CheckUnreachableCode,36,28,77.8
com.google.javascript.jscomp.CleanupPasses,15,1,16.7
com.google.javascript.jscomp.ClosureCodeRemoval,45,42,93.3
com.google.javascript.jscomp.ClosureOptimizePrimitives,33,31,93.9
com.google.javascript.jscomp.ClosureRewriteClass,147,126,86.9
com.google.javascript.jscomp.CoalesceVariableNames,204,173,84.8
com.google.javascript.jscomp.CodeChangeHandler,5,5,100.0
com.google.javascript.jscomp.CodingConvention,8,4,50.0
com.google.javascript.jscomp.CodingConventions,64,41,67.2
com.google.javascript.jscomp.CollapseVariableDeclarations,88,73,83.0
com.google.javascript.jscomp.CombinedCompilerPass,44,35,81.4
com.google.javascript.jscomp.CommandLineRunner,169,83,65.4
com.google.javascript.jscomp.CompilationLevel,132,59,44.7
com.google.javascript.jscomp.ConstCheck,36,29,80.6
com.google.javascript.jscomp.ControlFlowGraph,19,12,66.7
com.google.javascript.jscomp.ControlStructureCheck,14,12,92.3
com.google.javascript.jscomp.ConvertToDottedProperties,14,13,92.9
com.google.javascript.jscomp.CreateSyntheticBlocks,38,36,94.7
com.google.javascript.jscomp.CrossModuleMethodMotion,51,39,78.0
com.google.javascript.jscomp.DeadAssignmentsElimination,167,118,76.6
com.google.javascript.jscomp.Denormalize,55,31,72.1
com.google.javascript.jscomp.DependencyOptions,16,12,75.0
com.google.javascript.jscomp.deps.JsFileLineParser,169,112,70.9
com.google.javascript.jscomp.deps.JsFileParser,84,66,78.6
com.google.javascript.jscomp.deps.SimpleDependencyInfo,13,4,33.3
com.google.javascript.jscomp.deps.SortedDependencies,88,79,90.8
com.google.javascript.jscomp.DiagnosticGroup,9,7,87.5
com.google.javascript.jscomp.DiagnosticGroups,5,3,60.0
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard,12,11,91.7
com.google.javascript.jscomp.DiagnosticType,5,3,60.0
com.google.javascript.jscomp.ErrorFormat,4,0,0.0
com.google.javascript.jscomp.ExploitAssigns,93,80,86.0
com.google.javascript.jscomp.FlowSensitiveInlineVariables,196,142,76.3
com.google.javascript.jscomp.GlobalVarReferenceMap,67,43,67.2
com.google.javascript.jscomp.GoogleCodingConvention,42,30,71.4
com.google.javascript.jscomp.graph.DiGraph,8,6,75.0
com.google.javascript.jscomp.graph.FixedPointGraphTraversal,32,23,71.9
com.google.javascript.jscomp.graph.Graph,27,25,92.6
com.google.javascript.jscomp.graph.GraphColoring,35,26,76.5
com.google.javascript.jscomp.graph.GraphReachability,21,17,81.0
com.google.javascript.jscomp.graph.LinkedDirectedGraph,68,34,82.9
com.google.javascript.jscomp.graph.LinkedUndirectedGraph,74,49,79.0
com.google.javascript.jscomp.InlineCostEstimator,21,17,81.0
com.google.javascript.jscomp.InlineObjectLiterals,169,136,81.4
com.google.javascript.jscomp.JoinOp,31,23,74.2
com.google.javascript.jscomp.JSError,123,12,13.8
com.google.javascript.jscomp.JsMessage,847,387,92.8
com.google.javascript.jscomp.JsMessageVisitor,287,210,74.7
com.google.javascript.jscomp.JSModule,56,32,69.6
com.google.javascript.jscomp.JSModuleGraph,131,103,81.1
com.google.javascript.jscomp.LightweightMessageFormatter,114,86,75.4
com.google.javascript.jscomp.LiveVariablesAnalysis,89,69,77.5
com.google.javascript.jscomp.LoggerErrorManager,28,4,14.8
com.google.javascript.jscomp.MaybeReachingVariableUse,72,43,60.6
com.google.javascript.jscomp.MemoizedScopeCreator,9,6,100.0
com.google.javascript.jscomp.MinimizeExitPoints,88,65,78.3
com.google.javascript.jscomp.MustBeReachingVariableDef,119,84,71.2
com.google.javascript.jscomp.NameGenerator,60,38,64.4
