ClassName,TotalConditions,CoveredConditions,ConditionCoverage
com.fasterxml.jackson.databind.AnnotationIntrospector,24,10,41.67
com.fasterxml.jackson.databind.BeanProperty,4,1,25.0
com.fasterxml.jackson.databind.cfg.BaseSettings,24,14,58.33
com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig,30,22,73.33
com.fasterxml.jackson.databind.cfg.MapperConfig,14,10,71.43
com.fasterxml.jackson.databind.cfg.MapperConfigBase,4,2,50.0
com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig,18,13,72.22
com.fasterxml.jackson.databind.DatabindContext,20,10,50.0
com.fasterxml.jackson.databind.deser.AbstractDeserializer,40,26,65.0
com.fasterxml.jackson.databind.deser.BasicDeserializerFactory,484,373,77.07
com.fasterxml.jackson.databind.deser.BeanDeserializer,214,130,60.75
com.fasterxml.jackson.databind.deser.BeanDeserializerBase,335,208,62.09
com.fasterxml.jackson.databind.deser.BeanDeserializerFactory,184,145,78.8
com.fasterxml.jackson.databind.deser.DefaultDeserializationContext,40,29,72.5
com.fasterxml.jackson.databind.deser.DeserializerCache,108,85,78.7
com.fasterxml.jackson.databind.deser.impl.FieldProperty,2,1,50.0
com.fasterxml.jackson.databind.deser.impl.MethodProperty,2,2,100.0
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,2,0,0.0
com.fasterxml.jackson.databind.deser.impl.SetterlessProperty,4,2,50.0
com.fasterxml.jackson.databind.deser.SettableBeanProperty,48,30,62.5
com.fasterxml.jackson.databind.deser.std.ArrayBlockingQueueDeserializer,22,10,45.45
com.fasterxml.jackson.databind.deser.std.CollectionDeserializer,38,31,81.58
com.fasterxml.jackson.databind.deser.std.EnumDeserializer,40,24,60.0
com.fasterxml.jackson.databind.deser.std.EnumMapDeserializer,28,13,46.43
com.fasterxml.jackson.databind.deser.std.EnumSetDeserializer,14,8,57.14
com.fasterxml.jackson.databind.deser.std.JdkDeserializers,52,44,84.62
com.fasterxml.jackson.databind.deser.std.MapDeserializer,120,88,73.33
com.fasterxml.jackson.databind.deser.std.ObjectArrayDeserializer,44,31,70.45
com.fasterxml.jackson.databind.deser.std.StdDelegatingDeserializer,16,8,50.0
com.fasterxml.jackson.databind.deser.std.StdDeserializer,262,138,52.67
com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer,38,15,39.47
com.fasterxml.jackson.databind.deser.std.StdKeyDeserializers,38,27,71.05
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,38,26,68.42
com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer,36,17,47.22
com.fasterxml.jackson.databind.deser.std.StringDeserializer,8,5,62.5
com.fasterxml.jackson.databind.deser.std.ThrowableDeserializer,42,30,71.43
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,52,37,71.15
com.fasterxml.jackson.databind.DeserializationConfig,60,31,51.67
com.fasterxml.jackson.databind.DeserializationContext,44,32,72.73
com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException,16,9,56.25
com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,48,41,85.42
com.fasterxml.jackson.databind.introspect.Annotated,2,2,100.0
com.fasterxml.jackson.databind.introspect.AnnotatedClass,270,224,82.96
com.fasterxml.jackson.databind.introspect.AnnotatedConstructor,8,5,62.5
com.fasterxml.jackson.databind.introspect.AnnotatedField,4,3,75.0
