ClassName,TotalMutants,KilledMutants,MutationScore
com.fasterxml.jackson.databind.AnnotationIntrospector,20,4,100.0
com.fasterxml.jackson.databind.BeanProperty,2,0,0.0
com.fasterxml.jackson.databind.cfg.BaseSettings,14,0,0.0
com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig,38,21,61.8
com.fasterxml.jackson.databind.cfg.MapperConfig,16,13,86.7
com.fasterxml.jackson.databind.cfg.MapperConfigBase,4,0,0.0
com.fasterxml.jackson.databind.cfg.SerializerFactoryConfig,22,11,61.1
com.fasterxml.jackson.databind.DatabindContext,14,8,57.1
com.fasterxml.jackson.databind.deser.AbstractDeserializer,35,7,22.6
com.fasterxml.jackson.databind.deser.BeanDeserializer,257,133,74.7
com.fasterxml.jackson.databind.deser.DefaultDeserializationContext,28,16,59.3
com.fasterxml.jackson.databind.deser.DeserializerFactory,2,1,50.0
com.fasterxml.jackson.databind.deser.impl.FieldProperty,6,3,75.0
com.fasterxml.jackson.databind.deser.impl.MethodProperty,5,3,100.0
com.fasterxml.jackson.databind.deser.impl.PropertyBasedObjectIdGenerator,1,0,0.0
com.fasterxml.jackson.databind.deser.impl.SetterlessProperty,6,1,33.3
com.fasterxml.jackson.databind.deser.std.ArrayBlockingQueueDeserializer,27,6,31.6
com.fasterxml.jackson.databind.deser.std.CollectionDeserializer,40,24,60.0
com.fasterxml.jackson.databind.deser.std.EnumDeserializer,56,24,57.1
com.fasterxml.jackson.databind.deser.std.EnumMapDeserializer,34,14,58.3
com.fasterxml.jackson.databind.deser.std.EnumSetDeserializer,11,6,60.0
com.fasterxml.jackson.databind.deser.std.JdkDeserializers,72,53,81.5
com.fasterxml.jackson.databind.deser.std.ObjectArrayDeserializer,65,33,64.7
com.fasterxml.jackson.databind.deser.std.StdDelegatingDeserializer,11,4,50.0
com.fasterxml.jackson.databind.deser.std.StdDeserializer,319,139,57.4
com.fasterxml.jackson.databind.deser.std.StdKeyDeserializer,50,5,31.2
com.fasterxml.jackson.databind.deser.std.StdKeyDeserializers,28,13,48.1
com.fasterxml.jackson.databind.deser.std.StringArrayDeserializer,53,21,47.7
com.fasterxml.jackson.databind.deser.std.StringCollectionDeserializer,30,9,34.6
com.fasterxml.jackson.databind.deser.std.StringDeserializer,4,3,75.0
com.fasterxml.jackson.databind.deser.std.ThrowableDeserializer,77,51,70.8
com.fasterxml.jackson.databind.deser.std.UntypedObjectDeserializer,77,40,56.3
com.fasterxml.jackson.databind.DeserializationConfig,82,29,55.8
com.fasterxml.jackson.databind.DeserializationContext,60,29,56.9
com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException,29,7,25.9
com.fasterxml.jackson.databind.introspect.Annotated,1,1,100.0
com.fasterxml.jackson.databind.introspect.AnnotatedConstructor,13,8,61.5
com.fasterxml.jackson.databind.introspect.AnnotatedField,8,7,87.5
com.fasterxml.jackson.databind.introspect.AnnotatedMember,3,3,100.0
com.fasterxml.jackson.databind.introspect.AnnotatedMethod,17,11,64.7
com.fasterxml.jackson.databind.introspect.AnnotatedMethodMap,19,12,75.0
com.fasterxml.jackson.databind.introspect.AnnotatedParameter,2,0,0.0
com.fasterxml.jackson.databind.introspect.AnnotationIntrospectorPair,234,0,0.0
com.fasterxml.jackson.databind.introspect.AnnotationMap,38,28,73.7
com.fasterxml.jackson.databind.introspect.BasicBeanDescription,127,61,70.1
com.fasterxml.jackson.databind.introspect.BasicClassIntrospector,24,12,54.5
com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition,4,1,50.0
com.fasterxml.jackson.databind.introspect.VisibilityChecker,23,8,34.8
