ClassName,TotalConditions,CoveredConditions,ConditionCoverage
org.mockito.exceptions.Reporter,8,7,87.5
org.mockito.internal.configuration.DefaultAnnotationEngine,20,19,95.0
org.mockito.internal.configuration.DefaultInjectionEngine,6,6,100.0
org.mockito.internal.configuration.GlobalConfiguration,4,3,75.0
org.mockito.internal.configuration.InjectingAnnotationEngine,24,22,91.67
org.mockito.internal.configuration.injection.FinalMockCandidateFilter,4,4,100.0
org.mockito.internal.configuration.injection.NameBasedCandidateFilter,6,6,100.0
org.mockito.internal.configuration.injection.TypeBasedCandidateFilter,4,4,100.0
org.mockito.internal.configuration.SpyAnnotationEngine,10,10,100.0
org.mockito.internal.creation.cglib.CGLIBHacker,4,3,75.0
org.mockito.internal.creation.jmock.ClassImposterizer,16,14,87.5
org.mockito.internal.creation.jmock.SearchingClassLoader,10,7,70.0
org.mockito.internal.creation.MethodInterceptorFilter,10,10,100.0
org.mockito.internal.creation.MockSettingsImpl,10,10,100.0
org.mockito.internal.invocation.MatchersBinder,4,4,100.0
org.mockito.internal.MockHandler,8,8,100.0
org.mockito.internal.MockitoCore,26,26,100.0
org.mockito.internal.progress.ArgumentMatcherStorageImpl,18,15,83.33
org.mockito.internal.progress.MockingProgressImpl,10,9,90.0
org.mockito.internal.progress.ThreadSafeMockingProgress,2,2,100.0
org.mockito.internal.runners.RunnerFactory,4,4,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,2,2,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,42,42,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsMocks,4,4,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues,6,6,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls,6,5,83.33
org.mockito.internal.stubbing.InvocationContainerImpl,16,13,81.25
org.mockito.internal.util.ListUtil,4,4,100.0
org.mockito.internal.util.MockCreationValidator,14,14,100.0
org.mockito.internal.util.MockName,4,4,100.0
org.mockito.internal.util.MockUtil,22,21,95.45
org.mockito.internal.util.ObjectMethodsGuru,24,24,100.0
org.mockito.internal.util.reflection.AccessibilityChanger,4,1,25.0
org.mockito.internal.util.reflection.BeanPropertySetter,12,11,91.67
org.mockito.internal.util.reflection.FieldInitializer,16,15,93.75
org.mockito.internal.util.reflection.FieldReader,2,2,100.0
org.mockito.MockitoAnnotations,14,14,100.0
