ClassName,TotalMutants,KilledMutants,MutationScore
org.mockito.Answers,1,1,100.0
org.mockito.configuration.DefaultMockitoConfiguration,1,0,0.0
org.mockito.exceptions.base.MockitoAssertionError,2,2,100.0
org.mockito.exceptions.base.MockitoException,4,3,75.0
org.mockito.exceptions.Reporter,7,4,57.1
org.mockito.internal.configuration.DefaultAnnotationEngine,22,16,76.2
org.mockito.internal.configuration.DefaultInjectionEngine,6,6,100.0
org.mockito.internal.configuration.GlobalConfiguration,4,2,50.0
org.mockito.internal.configuration.InjectingAnnotationEngine,32,22,68.8
org.mockito.internal.configuration.injection.FinalMockCandidateFilter,10,7,70.0
org.mockito.internal.configuration.injection.NameBasedCandidateFilter,8,7,87.5
org.mockito.internal.configuration.injection.TypeBasedCandidateFilter,4,4,100.0
org.mockito.internal.configuration.SpyAnnotationEngine,14,12,85.7
org.mockito.internal.creation.cglib.CGLIBHacker,8,7,100.0
org.mockito.internal.creation.jmock.ClassImposterizer,48,37,78.7
org.mockito.internal.creation.jmock.SearchingClassLoader,31,20,69.0
org.mockito.internal.creation.MethodInterceptorFilter,12,11,91.7
org.mockito.internal.creation.MockSettingsImpl,22,22,100.0
org.mockito.internal.invocation.MatchersBinder,7,6,85.7
org.mockito.internal.MockHandler,17,15,88.2
org.mockito.internal.MockitoCore,59,57,96.6
org.mockito.internal.progress.ArgumentMatcherStorageImpl,42,37,88.1
org.mockito.internal.progress.MockingProgressImpl,31,27,87.1
org.mockito.internal.progress.ThreadSafeMockingProgress,11,10,100.0
org.mockito.internal.runners.JUnit45AndHigherRunnerImpl,5,4,80.0
org.mockito.internal.runners.RunnerFactory,4,4,100.0
org.mockito.internal.runners.util.FrameworkUsageValidator,3,0,0.0
org.mockito.internal.runners.util.RunnerProvider,5,2,66.7
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,4,4,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValues,33,31,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsMocks,3,3,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsMoreEmptyValues,6,6,100.0
org.mockito.internal.stubbing.defaultanswers.ReturnsSmartNulls,6,5,83.3
org.mockito.internal.stubbing.InvocationContainerImpl,32,30,93.8
org.mockito.internal.util.ListUtil,3,3,100.0
org.mockito.internal.util.MockCreationValidator,15,14,93.3
org.mockito.internal.util.MockName,14,14,100.0
org.mockito.internal.util.MockUtil,26,23,88.5
org.mockito.internal.util.ObjectMethodsGuru,59,52,88.1
org.mockito.internal.util.reflection.AccessibilityChanger,5,2,50.0
org.mockito.internal.util.reflection.BeanPropertySetter,17,15,88.2
org.mockito.internal.util.reflection.FieldInitializer,28,23,82.1
org.mockito.internal.util.reflection.FieldReader,2,2,100.0
org.mockito.internal.util.reflection.FieldSetter,3,2,66.7
org.mockito.internal.verification.RegisteredInvocations,8,7,87.5
org.mockito.Mockito,10,8,100.0
org.mockito.MockitoAnnotations,16,10,62.5
org.mockito.runners.MockitoJUnitRunner,2,2,100.0
