ClassName,TotalConditions,CoveredConditions,ConditionCoverage
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,90,62,68.89
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,52,38,73.08
org.apache.commons.compress.archivers.ArchiveInputStream,4,4,100.0
org.apache.commons.compress.archivers.ArchiveOutputStream,2,1,50.0
org.apache.commons.compress.archivers.ArchiveStreamFactory,50,45,90.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,108,61,56.48
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,85,45,52.94
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,112,65,58.04
org.apache.commons.compress.archivers.dump.DumpArchiveUtil,6,5,83.33
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,2,2,100.0
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream,2,2,100.0
org.apache.commons.compress.archivers.tar.TarArchiveEntry,122,60,49.18
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,116,72,62.07
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,84,68,80.95
org.apache.commons.compress.archivers.tar.TarBuffer,62,35,56.45
org.apache.commons.compress.archivers.tar.TarUtils,116,101,87.07
org.apache.commons.compress.archivers.zip.FallbackZipEncoding,4,2,50.0
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,174,90,51.72
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,252,149,59.13
org.apache.commons.compress.archivers.zip.ZipEncodingHelper,16,15,93.75
org.apache.commons.compress.archivers.zip.ZipLong,6,6,100.0
org.apache.commons.compress.utils.ArchiveUtils,24,18,75.0
