ClassName,TotalMutants,KilledMutants,MutationScore
org.apache.commons.compress.archivers.ar.ArArchiveInputStream,299,179,63.9
org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,176,124,72.5
org.apache.commons.compress.archivers.ArchiveException,1,1,100.0
org.apache.commons.compress.archivers.ArchiveInputStream,32,16,51.6
org.apache.commons.compress.archivers.ArchiveOutputStream,26,15,60.0
org.apache.commons.compress.archivers.ArchiveStreamFactory,62,49,79.0
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,563,279,67.2
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,539,168,45.0
org.apache.commons.compress.archivers.dump.DumpArchiveException,2,0,0.0
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,341,170,58.2
org.apache.commons.compress.archivers.dump.DumpArchiveUtil,216,206,96.7
org.apache.commons.compress.archivers.dump.InvalidFormatException,1,0,0.0
org.apache.commons.compress.archivers.jar.JarArchiveInputStream,1,1,100.0
org.apache.commons.compress.archivers.jar.JarArchiveOutputStream,7,7,100.0
org.apache.commons.compress.archivers.tar.TarArchiveEntry,429,166,55.7
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,331,170,64.9
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,308,161,59.4
org.apache.commons.compress.archivers.tar.TarBuffer,163,80,57.6
org.apache.commons.compress.archivers.tar.TarUtils,626,463,76.9
org.apache.commons.compress.archivers.zip.FallbackZipEncoding,3,0,0.0
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,630,174,53.0
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,786,281,44.4
org.apache.commons.compress.archivers.zip.ZipEncodingHelper,612,318,52.0
org.apache.commons.compress.archivers.zip.ZipLong,68,62,91.2
org.apache.commons.compress.utils.ArchiveUtils,85,54,78.3
