ClassName,TotalConditions,CoveredConditions,ConditionCoverage
org.apache.commons.math3.analysis.FunctionUtils,46,20,43.48
org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,6,6,100.0
org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,13,12,92.31
org.apache.commons.math3.analysis.integration.RombergIntegrator,12,8,66.67
org.apache.commons.math3.analysis.integration.SimpsonIntegrator,12,7,58.33
org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,8,7,87.5
org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,2,2,100.0
org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,26,25,96.15
org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,26,25,96.15
org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator,4,3,75.0
org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,4,3,75.0
org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,14,10,71.43
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,62,39,62.9
org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver,2,2,100.0
org.apache.commons.math3.analysis.solvers.BaseSecantSolver,48,45,93.75
org.apache.commons.math3.analysis.solvers.SecantSolver,10,9,90.0
org.apache.commons.math3.analysis.solvers.MullerSolver2,20,15,75.0
org.apache.commons.math3.analysis.solvers.MullerSolver,36,31,86.11
org.apache.commons.math3.analysis.solvers.BrentSolver,40,39,97.5
org.apache.commons.math3.analysis.solvers.LaguerreSolver,46,29,63.04
org.apache.commons.math3.analysis.solvers.NewtonSolver,2,2,100.0
org.apache.commons.math3.analysis.solvers.RiddersSolver,16,12,75.0
org.apache.commons.math3.analysis.solvers.BisectionSolver,4,4,100.0
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,66,65,98.48
org.apache.commons.math3.analysis.function.StepFunction,14,14,100.0
org.apache.commons.math3.analysis.function.Gaussian,20,20,100.0
org.apache.commons.math3.analysis.function.Logit,20,20,100.0
org.apache.commons.math3.analysis.function.Logistic,8,8,100.0
org.apache.commons.math3.analysis.function.Sigmoid,12,12,100.0
org.apache.commons.math3.analysis.function.Sinc,26,24,92.31
org.apache.commons.math3.analysis.function.HarmonicOscillator,8,8,100.0
org.apache.commons.math3.analysis.differentiation.DSCompiler,286,278,97.2
org.apache.commons.math3.analysis.differentiation.JacobianFunction,6,6,100.0
org.apache.commons.math3.analysis.differentiation.GradientFunction,4,4,100.0
org.apache.commons.math3.analysis.differentiation.DerivativeStructure,42,32,76.19
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,38,38,100.0
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,18,15,83.33
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,34,31,91.18
org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,26,16,61.54
org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,28,24,85.71
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,52,42,80.77
org.apache.commons.math3.analysis.interpolation.LoessInterpolator,52,48,92.31
org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,4,4,100.0
