ClassName,TotalMutants,KilledMutants,MutationScore
org.apache.commons.math3.analysis.FunctionUtils,211,95,92.2
org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,91,85,93.4
org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,500,487,98.2
org.apache.commons.math3.analysis.integration.RombergIntegrator,106,81,79.4
org.apache.commons.math3.analysis.integration.SimpsonIntegrator,87,45,71.4
org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,16,13,81.2
org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,28,28,100.0
org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,325,275,84.6
org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,186,161,86.6
org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator,36,31,86.1
org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,20,13,65.0
org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,120,103,88.8
org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,3,2,66.7
org.apache.commons.math3.analysis.solvers.AbstractUnivariateDifferentiableSolver,9,9,100.0
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,236,95,52.5
org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver,18,17,94.4
org.apache.commons.math3.analysis.solvers.BaseSecantSolver,126,91,72.2
org.apache.commons.math3.analysis.solvers.SecantSolver,54,40,74.1
org.apache.commons.math3.analysis.solvers.MullerSolver2,244,200,86.6
org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,2,2,100.0
org.apache.commons.math3.analysis.solvers.MullerSolver,263,169,64.3
org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,27,26,96.3
org.apache.commons.math3.analysis.solvers.BrentSolver,294,244,83.0
org.apache.commons.math3.analysis.solvers.LaguerreSolver,204,112,59.6
org.apache.commons.math3.analysis.solvers.NewtonSolver,16,15,93.8
org.apache.commons.math3.analysis.solvers.RiddersSolver,112,78,69.6
org.apache.commons.math3.analysis.solvers.BisectionSolver,20,16,80.0
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,548,447,81.6
org.apache.commons.math3.analysis.function.Multiply,4,4,100.0
org.apache.commons.math3.analysis.function.StepFunction,45,40,88.9
org.apache.commons.math3.analysis.function.Add,4,4,100.0
org.apache.commons.math3.analysis.function.Inverse,6,6,100.0
org.apache.commons.math3.analysis.function.Gaussian,297,281,94.6
org.apache.commons.math3.analysis.function.Logit,161,118,88.7
org.apache.commons.math3.analysis.function.Subtract,4,0,0.0
org.apache.commons.math3.analysis.function.Divide,4,4,100.0
org.apache.commons.math3.analysis.function.Minus,1,1,100.0
org.apache.commons.math3.analysis.function.Logistic,177,144,92.9
org.apache.commons.math3.analysis.function.Sigmoid,178,172,96.6
org.apache.commons.math3.analysis.function.Sinc,416,309,74.6
org.apache.commons.math3.analysis.function.HarmonicOscillator,120,115,95.8
org.apache.commons.math3.analysis.differentiation.JacobianFunction,22,21,95.5
org.apache.commons.math3.analysis.differentiation.GradientFunction,18,17,94.4
org.apache.commons.math3.analysis.differentiation.DerivativeStructure,410,315,84.7
org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,239,217,90.8
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,158,128,86.5
org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,319,255,87.0
org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,148,98,84.5
org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,371,335,90.5
org.apache.commons.math3.analysis.polynomials.PolynomialFunction,327,233,83.8
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,827,734,93.3
org.apache.commons.math3.analysis.interpolation.LoessInterpolator,387,329,85.2
org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,60,54,90.0
org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,140,132,94.3
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,140,98,70.0
org.apache.commons.math3.analysis.interpolation.LinearInterpolator,62,51,82.3
org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,62,52,83.9
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,89,57,65.5
org.apache.commons.math3.analysis.interpolation.SplineInterpolator,326,310,95.1
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,222,122,55.0
